quote_id,date_submitted,date_closed,customer,city,state,sales_rep,product_category,product_detail,quote_amount,discount_pct,final_amount,margin_pct,competitor_mentioned,days_to_quote,days_to_close,result,loss_reason
Q-2025-1019,2025-10-18,2025-10-28,Prairie State CNC,Wichita,KS,Jake Finley,Bearings,Dodge P2B-SC-104 Pillow Block (qty 100),1453,7.0,1351,24.3,Motion Industries,0,10,Lost,Price
Q-2025-1020,2025-10-18,2025-11-08,Consolidated Packaging,Lenexa,KS,Jake Finley,Bearings,Timken HM218248 Tapered Roller (qty 100),8052,1.5,7931,25.9,,2,21,Lost,Went with incumbent
Q-2025-1021,2025-10-20,2025-11-22,Tallgrass Energy,Wichita,KS,Jake Finley,MRO/Mixed,"Conveyor maintenance kit — rollers, belting, hardware",48731,2.3,47610,29.8,Grainger,3,33,Lost,Lead time
Q-2025-1022,2025-10-20,2025-10-24,FlexPak Solutions,Topeka,KS,Mark Alderman,MRO/Mixed,"Maintenance supply package — adhesives, tapes, PPE",4953,0,4953,22.6,,3,4,Won,
Q-2025-1023,2025-10-21,2025-10-27,Prairie State CNC,Wichita,KS,Mark Alderman,Seals & Gaskets,John Crane Type 1 Seal Kit,7136,4.5,6815,35.4,,3,6,Won,
Q-2025-1024,2025-10-21,2025-11-06,Continental Mills,Atchison,KS,Mark Alderman,Motors & Drives,ABB ACS580 VFD 25HP,3666,7.1,3406,18.5,Grainger,2,16,Lost,Price
Q-2025-1025,2025-10-21,2025-11-04,Berry Global,Lawrence,KS,Mark Alderman,Bearings,SKF 22218 E Spherical Roller (qty 2),48419,0.7,48080,29.6,Applied Industrial,5,14,Won,
Q-2025-1026,2025-10-22,2025-11-20,River City Steel,Kansas City,MO,Lisa Cheng,Bearings,SKF 7210 BECBP Angular Contact (qty 8),29828,9.5,26994,26.549999999999997,,5,29,Lost,Lead time
Q-2025-1027,2025-10-23,2025-10-25,Textron Aviation,Wichita,KS,Lisa Cheng,Bearings,SealMaster NP-20T Pillow Block (qty 12),3251,18.0,2666,18,McMaster-Carr,0,2,Won,
Q-2025-1028,2025-10-24,2025-11-01,Cornhusker Milling,Lincoln,NE,Jake Finley,Linear Motion,Hiwin KK60 Linear Actuator,1762,3.6,1699,28.2,,1,8,Lost,Lead time
Q-2025-1029,2025-10-25,2025-11-14,Spirit AeroSystems,Wichita,KS,Mark Alderman,Power Transmission,Rexnord Omega E40 Coupling,1155,2.3,1128,25.7,,2,20,Lost,No response
Q-2025-1030,2025-10-25,2025-11-01,River City Steel,Kansas City,MO,Jake Finley,Power Transmission,Martin 60B18 Sprocket Set,2652,3.6,2557,21.8,,0,7,Won,
Q-2025-1031,2025-10-27,2025-11-16,Murphy Tractor,Kansas City,MO,Jake Finley,MRO/Mixed,"Pump rebuild kit — seals, bearings, couplings",1290,6.5,1206,22.6,Amazon Business,1,20,Lost,Price
Q-2025-1032,2025-10-28,2025-11-20,Dairyland Cooperative,Topeka,KS,Lisa Cheng,Seals & Gaskets,SKF CR 99600 Speedi-Sleeve (qty 10),2867,3.7,2761,31.2,,1,23,Lost,Lead time
Q-2025-1033,2025-10-28,2025-11-23,Plains Equipment Group,Wichita,KS,Mark Alderman,Bearings,NTN UCF210-200D1 Flange Unit (qty 48),3616,5.6,3414,26.0,Applied Industrial,2,26,Lost,Price
Q-2025-1034,2025-10-30,2025-11-04,River City Steel,Kansas City,MO,Mark Alderman,Bearings,Dodge P2B-SC-104 Pillow Block (qty 36),8021,16.9,6665,26.43,Amazon Business,2,5,Won,
Q-2025-1035,2025-11-02,2025-11-14,Tyson Fresh Meats,Emporia,KS,Jake Finley,Power Transmission,Gates Poly Chain GT Carbon Belt,7171,4.3,6863,33.9,,0,12,Lost,Lead time
Q-2025-1036,2025-11-03,2025-11-08,Tyson Fresh Meats,Emporia,KS,Jake Finley,Valves,Apollo 88A-100 3-Piece Ball Valve (qty 4),3452,4.2,3307,23.6,Ferguson Industrial,2,5,Won,
Q-2025-1037,2025-11-03,2025-11-11,FlexPak Solutions,Topeka,KS,Lisa Cheng,Power Transmission,Dodge Quantis ILH68 Gear Reducer,2780,13.7,2399,21.69,,0,8,Won,
Q-2025-1038,2025-11-05,2025-11-25,Cornhusker Milling,Lincoln,NE,Mark Alderman,Seals & Gaskets,SKF CR 99600 Speedi-Sleeve (qty 10),112701,4.6,107517,30.8,Motion Industries,7,20,Won,
Q-2025-1039,2025-11-05,2025-12-01,Jensen Manufacturing,Olathe,KS,Mark Alderman,Bearings,Timken HM218248 Tapered Roller (qty 24),8466,14.2,7264,20.439999999999998,,2,26,Lost,Lead time
Q-2025-1040,2025-11-06,2025-11-15,Salina Vortex,Salina,KS,Lisa Cheng,Motors & Drives,Baldor EM3615T 5HP Motor,1430,7.7,1320,28.2,,1,9,Lost,Went with incumbent
Q-2025-1041,2025-11-07,2025-12-05,Novacoil Inc,Emporia,KS,Mark Alderman,MRO/Mixed,"Conveyor maintenance kit — rollers, belting, hardware",6118,5.1,5806,27.8,,3,28,Lost,No response
Q-2025-1042,2025-11-08,2025-12-05,Tri-State Fabrication,Joplin,MO,Jake Finley,Bearings,SKF 23120 CC/W33 Spherical (qty 24),6974,3.5,6730,29.3,,1,27,Lost,Spec change
Q-2025-1043,2025-11-08,2025-11-17,Westar Energy,Topeka,KS,Jake Finley,Seals & Gaskets,Garlock Style 9850 Gasket Set (qty 16),3217,14.3,2757,27.61,,0,9,Won,
Q-2025-1044,2025-11-10,2025-11-27,Hawkeye Industrial,Cedar Rapids,IA,Mark Alderman,MRO/Mixed,"Maintenance supply package — adhesives, tapes, PPE",33630,5.1,31915,23.5,,10,17,Lost,Lead time
Q-2025-1045,2025-11-10,2025-11-25,Dairyland Cooperative,Topeka,KS,Lisa Cheng,Linear Motion,Hiwin HGH20CA Linear Block (qty 16),3752,0,3752,29.4,,1,15,Won,
Q-2025-1046,2025-11-12,2025-12-06,Midwest Fabricators,Olathe,KS,Mark Alderman,Bearings,SealMaster NP-20T Pillow Block (qty 16),4494,1.9,4409,24.8,McMaster-Carr,1,24,Lost,Price
Q-2025-1047,2025-11-14,2025-11-21,Murphy Tractor,Kansas City,MO,Lisa Cheng,Power Transmission,Dodge Quantis ILH68 Gear Reducer,3418,3.0,3315,24.4,,1,7,Lost,Price
Q-2025-1048,2025-11-14,2025-11-21,Novacoil Inc,Emporia,KS,Jake Finley,Seals & Gaskets,Garlock Klozure Mill-Right Seal (qty 24),21429,0.1,21408,33.9,Applied Industrial,2,7,Won,
Q-2025-1049,2025-11-14,2025-11-24,Hutch Manufacturing,Hutchinson,KS,Mark Alderman,Bearings,Timken SET401 Tapered Roller (qty 4),2592,5.4,2452,29.3,Motion Industries,3,10,Won,
Q-2025-1050,2025-11-14,2025-12-16,Missouri Valley Fab,Independence,MO,Lisa Cheng,Seals & Gaskets,Parker Parbak HD O-Ring Kit,45110,1.9,44253,28.5,Motion Industries,3,32,Lost,Project canceled
Q-2025-1051,2025-11-16,2025-11-26,Tri-State Fabrication,Joplin,MO,Lisa Cheng,Bearings,SKF 23120 CC/W33 Spherical (qty 10),5453,0,5453,31.1,McMaster-Carr,1,10,Won,
Q-2025-1052,2025-11-19,2025-12-12,Pratt Industries,Pratt,KS,Mark Alderman,Bearings,SKF 22218 E Spherical Roller (qty 36),3086,8.9,2811,27.130000000000003,Motion Industries,2,23,Lost,Price
Q-2025-1053,2025-11-19,2025-12-03,Prairie Ag Equipment,Salina,KS,Jake Finley,Motors & Drives,WEG 00718ET3E213T 7.5HP Motor,74267,3.8,71445,27.1,,8,14,Won,
Q-2025-1054,2025-11-19,2025-12-08,River City Steel,Kansas City,MO,Jake Finley,Power Transmission,Gates PowerGrip GT3 Belt Kit,107067,4.7,102035,24.8,,4,19,Won,
Q-2025-1055,2025-11-20,2025-11-30,Novacoil Inc,Emporia,KS,Lisa Cheng,Seals & Gaskets,Parker Parbak HD O-Ring Kit,12466,3.1,12080,37.8,,3,10,Won,
Q-2025-1056,2025-11-21,2025-12-09,Midwest Fabricators,Olathe,KS,Mark Alderman,Seals & Gaskets,Parker Parbak HD O-Ring Kit,9506,6.8,8860,28.9,,3,18,Lost,No response
Q-2025-1057,2025-11-22,2025-11-29,Cornhusker Milling,Lincoln,NE,Lisa Cheng,Linear Motion,Hiwin KK60 Linear Actuator,7057,0,7057,28.0,Motion Industries,2,7,Won,
Q-2025-1058,2025-11-22,2025-11-27,High Plains Corp,Garden City,KS,Jake Finley,Bearings,Dodge P2B-SC-104 Pillow Block (qty 20),1746,6.8,1627,19.3,Applied Industrial,1,5,Won,
Q-2025-1059,2025-11-24,2025-12-28,Midwest Mechanical Services,Wichita,KS,Mark Alderman,Valves,Apollo 70-100 2in Ball Valve (qty 6),72241,3.9,69424,30.7,Ferguson Industrial,8,34,Lost,Lead time
Q-2025-1060,2025-11-25,2025-12-02,Lakeshore Assembly,Kansas City,MO,Lisa Cheng,Seals & Gaskets,Garlock Klozure Mill-Right Seal (qty 4),18647,3.4,18013,29.3,,2,7,Won,
Q-2025-1061,2025-11-25,2025-12-09,Textron Aviation,Wichita,KS,Mark Alderman,Linear Motion,THK HSR20 Linear Guide Set (qty 100),925,6.8,862,33.3,,1,14,Won,
Q-2025-1062,2025-11-28,2025-12-16,Tyson Fresh Meats,Emporia,KS,Mark Alderman,Power Transmission,Regal Beloit Hub City 0220-60201 Reducer,12073,14.0,10383,26.3,Motion Industries,4,18,Lost,Price
Q-2025-1063,2025-11-28,2025-12-08,Tallgrass Energy,Wichita,KS,Jake Finley,Linear Motion,THK SHS25 Linear Guide Rail (qty 8),40581,8.0,37335,31.0,Motion Industries,3,10,Won,
Q-2025-1064,2025-11-28,2025-12-18,River City Steel,Kansas City,MO,Mark Alderman,MRO/Mixed,"Maintenance supply package — adhesives, tapes, PPE",9799,4.9,9319,33.2,,2,20,Lost,Went with incumbent
Q-2025-1065,2025-11-30,2025-12-07,Central Iowa Machining,Des Moines,IA,Jake Finley,Power Transmission,Rexnord 1050T Grid Coupling,9677,3.0,9387,21.4,,1,7,Won,
Q-2025-1066,2025-12-01,2025-12-10,Murphy Tractor,Kansas City,MO,Mark Alderman,Bearings,NTN UCF210-200D1 Flange Unit (qty 16),9865,5.4,9332,22.4,,3,9,Won,
Q-2025-1067,2025-12-01,2025-12-15,Westar Energy,Topeka,KS,Jake Finley,Bearings,Timken SET401 Tapered Roller (qty 20),8714,4.3,8339,27.2,Amazon Business,1,14,Lost,Price
Q-2025-1068,2025-12-02,2025-12-18,Hawkeye Industrial,Cedar Rapids,IA,Mark Alderman,Seals & Gaskets,Garlock Klozure Mill-Right Seal (qty 6),7108,2.5,6930,36.4,,2,16,Lost,Price
Q-2025-1069,2025-12-03,2025-12-21,Agri-Service Inc,Hutchinson,KS,Lisa Cheng,Power Transmission,Gates Poly Chain GT Carbon Belt,8329,3.2,8062,23.6,McMaster-Carr,2,18,Lost,Price
Q-2025-1070,2025-12-03,2025-12-31,Midwest Mechanical Services,Wichita,KS,Jake Finley,Valves,Apollo 70-100 2in Ball Valve (qty 8),1117,6.0,1050,28.4,Ferguson Industrial,1,28,Lost,No response
Q-2025-1071,2025-12-06,2026-01-11,Spirit AeroSystems,Wichita,KS,Lisa Cheng,Bearings,NTN 6305LLU Deep Groove (qty 6),109270,2.7,106320,19.4,Amazon Business,3,36,Lost,Price
Q-2025-1072,2025-12-07,2025-12-17,River City Steel,Kansas City,MO,Lisa Cheng,Power Transmission,Gates PowerGrip GT3 Belt Kit,7965,12.3,6985,20,,1,10,Won,
Q-2025-1073,2025-12-07,2025-12-19,Koch Industries,Wichita,KS,Lisa Cheng,Bearings,SealMaster NP-20T Pillow Block (qty 4),1414,0,1414,18.5,,1,12,Won,
Q-2025-1074,2025-12-07,2025-12-27,Lakeshore Assembly,Kansas City,MO,Lisa Cheng,Seals & Gaskets,Garlock GRAPH-LOCK 3125-SS (qty 20),6620,5.7,6243,38.7,,0,20,Lost,Price
Q-2025-1075,2025-12-07,2025-12-21,Novacoil Inc,Emporia,KS,Lisa Cheng,Bearings,SKF 6205-2RS Deep Groove (qty 48),14984,0,14984,22.6,McMaster-Carr,3,14,Won,
Q-2025-1076,2025-12-07,2025-12-19,Hawkeye Industrial,Cedar Rapids,IA,Jake Finley,Bearings,SKF 23120 CC/W33 Spherical (qty 16),1592,1.9,1562,26.3,,2,12,Won,
Q-2025-1077,2025-12-08,2025-12-17,Hawkeye Industrial,Cedar Rapids,IA,Jake Finley,MRO/Mixed,"Annual safety supply order — gloves, glasses, ear protection",7577,0,7577,24.0,Amazon Business,0,9,Won,
Q-2025-1078,2025-12-08,2025-12-16,Agri-Service Inc,Hutchinson,KS,Mark Alderman,MRO/Mixed,"Annual safety supply order — gloves, glasses, ear protection",8970,9.1,8154,22,,3,8,Won,
Q-2025-1079,2025-12-08,2025-12-23,Sunflower Steel,Hutchinson,KS,Jake Finley,Power Transmission,Regal Beloit Hub City 0220-60201 Reducer,4360,2.4,4255,34.2,,2,15,Won,
Q-2025-1080,2025-12-09,2025-12-25,Pratt Industries,Pratt,KS,Jake Finley,Power Transmission,Gates PowerGrip GT3 Belt Kit,49356,6.8,46000,30.4,Applied Industrial,2,16,Won,
Q-2025-1081,2025-12-09,2025-12-21,High Plains Corp,Garden City,KS,Jake Finley,MRO/Mixed,"Conveyor maintenance kit — rollers, belting, hardware",1692,5.7,1596,29.5,,2,12,Won,
Q-2025-1082,2025-12-11,2025-12-25,Hutch Manufacturing,Hutchinson,KS,Lisa Cheng,Valves,Bray Series 21 Butterfly + Actuator,1633,1.2,1613,24.8,Ferguson Industrial,2,14,Lost,Went with incumbent
Q-2025-1083,2025-12-12,2025-12-24,Lakeshore Assembly,Kansas City,MO,Lisa Cheng,Seals & Gaskets,Garlock GRAPH-LOCK 3125-SS (qty 12),7526,13.8,6487,26,Motion Industries,2,12,Won,
Q-2025-1084,2025-12-12,2025-12-16,Prairie Ag Equipment,Salina,KS,Lisa Cheng,Valves,Bray Series 21 Butterfly + Actuator,2759,4.2,2643,27.1,,1,4,Won,
Q-2025-1085,2025-12-12,2025-12-22,Murphy Tractor,Kansas City,MO,Mark Alderman,Linear Motion,THK HSR20 Linear Guide Set (qty 8),8855,13.6,7651,25,,2,10,Won,
Q-2025-1086,2025-12-12,2025-12-25,Midwest Fabricators,Olathe,KS,Lisa Cheng,Power Transmission,Rexnord Omega E40 Coupling,4541,4.2,4350,29.3,,1,13,Won,
Q-2025-1087,2025-12-13,2025-12-23,Koch Industries,Wichita,KS,Mark Alderman,Power Transmission,Rexnord Omega E40 Coupling,6742,0,6742,28.3,Motion Industries,3,10,Won,
Q-2025-1088,2025-12-14,2025-12-20,Agri-Service Inc,Hutchinson,KS,Jake Finley,MRO/Mixed,"Maintenance supply package — adhesives, tapes, PPE",9730,2.8,9458,24.0,,3,6,Won,
Q-2025-1089,2025-12-15,2026-01-04,Midwest Grain Terminal,Salina,KS,Jake Finley,Valves,Nibco T-113-K Gate Valve (qty 2),35341,0,35341,29.6,Ferguson Industrial,5,20,Lost,Price
Q-2025-1090,2025-12-16,2026-01-10,Plains Equipment Group,Wichita,KS,Mark Alderman,Motors & Drives,ABB ACS355 VFD 15HP,4204,7.2,3901,21.8,,2,25,Lost,Went with incumbent
Q-2025-1091,2025-12-16,2025-12-24,Lakeshore Assembly,Kansas City,MO,Jake Finley,MRO/Mixed,"Conveyor maintenance kit — rollers, belting, hardware",3167,3.7,3050,28.7,,1,8,Lost,Went with incumbent
Q-2025-1092,2025-12-16,2025-12-26,Agri-Service Inc,Hutchinson,KS,Jake Finley,Seals & Gaskets,Parker Parbak HD O-Ring Kit,6434,1.7,6325,39.2,,1,10,Won,
Q-2025-1093,2025-12-16,2025-12-28,Midwest Grain Terminal,Salina,KS,Jake Finley,Motors & Drives,ABB ACS580 VFD 25HP,3610,4.2,3458,29.8,,1,12,Lost,Price
Q-2025-1094,2025-12-16,2025-12-28,Midwest Mechanical Services,Wichita,KS,Jake Finley,Bearings,NTN 6305LLU Deep Groove (qty 4),9021,2.0,8841,27.3,,1,12,Won,
Q-2025-1095,2025-12-18,2025-12-29,Cornhusker Milling,Lincoln,NE,Jake Finley,Power Transmission,Dodge Quantis ILH68 Gear Reducer,3982,5.9,3747,29.5,,1,11,Won,
Q-2025-1096,2025-12-20,2026-01-11,Textron Aviation,Wichita,KS,Jake Finley,Bearings,SealMaster NP-20T Pillow Block (qty 2),24170,4.2,23155,25.6,,1,22,Lost,No response
Q-2025-1097,2025-12-21,2025-12-29,Central Iowa Machining,Des Moines,IA,Lisa Cheng,Motors & Drives,ABB ACS355 VFD 15HP,16325,5.1,15492,19.8,,4,8,Lost,Price
Q-2025-1098,2025-12-21,2026-01-02,Central Iowa Machining,Des Moines,IA,Mark Alderman,Linear Motion,Hiwin KK60 Linear Actuator,9432,8.9,8593,33.33,,1,12,Won,
Q-2025-1099,2025-12-21,2026-01-30,Dairyland Cooperative,Topeka,KS,Mark Alderman,Bearings,SKF 7210 BECBP Angular Contact (qty 24),108292,5.8,102011,20.6,,9,40,Lost,Price
Q-2025-1100,2025-12-22,2026-01-24,High Plains Corp,Garden City,KS,Jake Finley,MRO/Mixed,"Quarterly MRO kit — filters, belts, lubricants",1438,4.3,1376,22.7,Amazon Business,1,33,Lost,Price
Q-2025-1101,2025-12-25,2026-01-07,Pratt Industries,Pratt,KS,Jake Finley,Motors & Drives,Baldor EM3615T 5HP Motor,35165,4.1,33723,25.1,,6,13,Lost,Went with incumbent
Q-2025-1102,2025-12-25,2026-01-21,Jensen Manufacturing,Olathe,KS,Jake Finley,Power Transmission,Regal Beloit Hub City 0220-60201 Reducer,2234,1.0,2212,27.2,McMaster-Carr,2,27,Lost,Price
Q-2025-1103,2025-12-25,2026-01-02,Great Plains Manufacturing,Salina,KS,Jake Finley,MRO/Mixed,"Maintenance supply package — adhesives, tapes, PPE",9046,3.0,8775,33.3,,2,8,Won,
Q-2025-1104,2025-12-26,2026-01-07,Tri-State Fabrication,Joplin,MO,Lisa Cheng,Seals & Gaskets,Parker O-Ring Kit 4-001 (qty 6 kits),12875,2.0,12618,32.0,,1,12,Lost,Lead time
Q-2025-1105,2025-12-27,2026-01-20,Lakeshore Assembly,Kansas City,MO,Jake Finley,Bearings,SKF 22218 E Spherical Roller (qty 8),112616,7.2,104508,27.6,Applied Industrial,5,24,Won,
Q-2025-1106,2025-12-27,2026-01-13,Novacoil Inc,Emporia,KS,Lisa Cheng,Valves,Bray Series 31 6in Butterfly + Actuator Package,4564,3.7,4395,35.9,Ferguson Industrial,3,17,Won,
Q-2025-1107,2025-12-28,2026-01-05,Murphy Tractor,Kansas City,MO,Lisa Cheng,Power Transmission,Martin 60B18 Sprocket Set,9189,14.6,7847,23.42,,3,8,Won,
Q-2025-1108,2025-12-28,2026-01-09,Midwest Fabricators,Olathe,KS,Jake Finley,Power Transmission,Regal Beloit Hub City 0220-60201 Reducer,15580,2.0,15268,34.5,,2,12,Lost,Went with incumbent
Q-2025-1109,2025-12-29,2026-01-03,Dairyland Cooperative,Topeka,KS,Mark Alderman,Power Transmission,Regal Beloit Hub City 0220-60201 Reducer,2117,4.1,2030,32.2,,3,5,Won,
Q-2025-1110,2025-12-31,2026-02-05,Westar Energy,Topeka,KS,Lisa Cheng,MRO/Mixed,"Pump rebuild kit — seals, bearings, couplings",63124,6.2,59210,33.1,,4,36,Lost,Spec change
Q-2026-1111,2026-01-01,2026-01-26,Lakeshore Assembly,Kansas City,MO,Mark Alderman,Seals & Gaskets,Garlock GRAPH-LOCK 3125-SS (qty 8),8685,2.5,8468,34.0,,3,25,Lost,Lead time
Q-2026-1112,2026-01-01,2026-01-11,Central Iowa Machining,Des Moines,IA,Lisa Cheng,Valves,Nibco T-113-K Gate Valve (qty 16),5696,5.4,5388,24.3,,1,10,Lost,Spec change
Q-2026-1113,2026-01-02,2026-01-28,Heartland Foods,Topeka,KS,Lisa Cheng,Bearings,NTN UCF210-200D1 Flange Unit (qty 12),9096,4.2,8714,29.3,,1,26,Lost,Price
Q-2026-1114,2026-01-02,2026-02-12,FlexPak Solutions,Topeka,KS,Lisa Cheng,Power Transmission,Regal Beloit Hub City 0220-60201 Reducer,101851,2.6,99203,34.6,,4,41,Lost,Went with incumbent
Q-2026-1115,2026-01-03,2026-01-26,Missouri Valley Fab,Independence,MO,Jake Finley,Bearings,NTN 6305LLU Deep Groove (qty 16),49289,3.5,47564,23.8,Applied Industrial,5,23,Won,
Q-2026-1116,2026-01-05,2026-01-18,High Plains Corp,Garden City,KS,Mark Alderman,Motors & Drives,Regal Beloit Marathon 184TTFS6526 Motor,9417,9.4,8532,19.88,Grainger,3,13,Won,
Q-2026-1117,2026-01-06,2026-01-31,Pratt Industries,Pratt,KS,Lisa Cheng,Power Transmission,Rexnord BS187 Pillow Block + Coupling Package,894,8.7,816,28.69,,0,25,Lost,Price
Q-2026-1118,2026-01-06,2026-01-12,Tyson Fresh Meats,Emporia,KS,Lisa Cheng,MRO/Mixed,"Pump rebuild kit — seals, bearings, couplings",7465,4.3,7144,33.0,,2,6,Won,
Q-2026-1119,2026-01-06,2026-01-08,Novacoil Inc,Emporia,KS,Lisa Cheng,MRO/Mixed,"Pump rebuild kit — seals, bearings, couplings",2715,0,2715,30.5,,1,2,Won,
Q-2026-1120,2026-01-06,2026-01-20,Prairie Ag Equipment,Salina,KS,Mark Alderman,Power Transmission,Gates PowerGrip GT3 Belt Kit,2435,3.4,2352,33.1,,2,14,Won,
Q-2026-1121,2026-01-06,2026-01-16,Consolidated Packaging,Lenexa,KS,Jake Finley,Motors & Drives,Baldor EJMM3615T 5HP C-Face,1700,1.1,1681,20.4,,1,10,Won,
Q-2026-1122,2026-01-08,2026-01-20,Great Lakes Stamping,Cleveland,OH,Mark Alderman,Power Transmission,Rexnord Omega E40 Coupling,7741,8.7,7068,28.29,,2,12,Won,
Q-2026-1123,2026-01-08,2026-01-20,Cornhusker Milling,Lincoln,NE,Jake Finley,Bearings,NTN 6305LLU Deep Groove (qty 36),8684,3.9,8345,20.7,,1,12,Lost,Project canceled
Q-2026-1124,2026-01-09,2026-01-24,Lakeshore Assembly,Kansas City,MO,Tyler Novak,Motors & Drives,ABB ACS355 VFD 15HP,3555,3.5,3431,24.8,,3,15,Lost,Price
Q-2026-1125,2026-01-10,2026-01-22,Salina Vortex,Salina,KS,Tyler Novak,Bearings,SKF 7210 BECBP Angular Contact (qty 4),6989,10.1,6283,23.369999999999997,Amazon Business,3,12,Lost,Price
Q-2026-1126,2026-01-10,2026-01-13,Koch Industries,Wichita,KS,Jake Finley,Seals & Gaskets,John Crane Type 1 Seal Kit,5401,4.8,5142,38.6,,1,3,Lost,Price
Q-2026-1127,2026-01-10,2026-02-16,Textron Aviation,Wichita,KS,Jake Finley,MRO/Mixed,"Annual safety supply order — gloves, glasses, ear protection",109600,6.1,102914,35.6,Grainger,6,37,Lost,Price
Q-2026-1128,2026-01-10,2026-01-16,Textron Aviation,Wichita,KS,Tyler Novak,Seals & Gaskets,John Crane Type 1 Seal Kit,16236,7.9,14953,31.0,,2,6,Lost,Went with incumbent
Q-2026-1129,2026-01-11,2026-01-24,Pratt Industries,Pratt,KS,Jake Finley,Seals & Gaskets,Parker O-Ring Kit 4-001 (qty 10 kits),7273,9.9,6553,26,,0,13,Won,
Q-2026-1130,2026-01-11,2026-01-21,Lakeshore Assembly,Kansas City,MO,Mark Alderman,Seals & Gaskets,John Crane Type 1 Seal Kit,9770,1.5,9623,28.8,,1,10,Won,
Q-2026-1131,2026-01-12,2026-01-21,Murphy Tractor,Kansas City,MO,Lisa Cheng,MRO/Mixed,"Annual safety supply order — gloves, glasses, ear protection",35190,0,35190,27.1,Grainger,5,9,Lost,Lead time
Q-2026-1132,2026-01-13,2026-01-26,Central Iowa Machining,Des Moines,IA,Jake Finley,Bearings,Timken SET401 Tapered Roller (qty 16),4835,6.5,4521,23.4,,2,13,Lost,Lead time
